Name,Region Name,District Name,District Category,District Capital
Victoria Adu,EASTERN,Birim Central Municipal,Municipal,Akim Oda
Raymond Nana Dartey,EASTERN,Birim North District,District,New Abirim
Seth Birikorang Ofosu,EASTERN,Denkyembour District,District,Akwatia
Akosua Asabea Annoh,EASTERN,Abuakwa South Municipal,Municipal,Kibi
Charles Oware-Tweneboah,EASTERN,Fanteakwa North District,District,Begoro
Seth Antwi Boasiako,EASTERN,Kwaebibirem Municipal,Municipal,Kade
Isaac Ofori Kore,EASTERN,Kwahu Afram Plains North District,District,Donkorkrom
Evans Kyei Ntiri,EASTERN,Kwahu Afram Plains South District,District,Tease
Isaac Agyapong,EASTERN,Kwahu East District,District,Abetifi
Emmanuel Atta Ofori Snr,EASTERN,Kwahu South Municipal,Municipal,Mpraeso
Yaw Owusu Addo,EASTERN,Kwahu West Municipal,Municipal,Nkawkaw
Simon Kweku Tetteh,EASTERN,Lower Manya Krobo Municipal,Municipal,Odumase
Isaac Appaw-Gyasi,EASTERN,New Juaben South Municipal,Municipal,Koforidua
Isaac Kwadjo Buabeng,EASTERN,Nsawam Adoagyiri Municipal,Municipal,Nsawam
Margaret Darko,EASTERN,Suhum Municipal,Municipal,Suhum
Joseph Sam,EASTERN,Upper Manya Krobo District,District,Asesewa
Eugene Sackey,EASTERN,Upper West Akim District,District,Adeiso
Seth Oduro Boadu,EASTERN,West Akim Municipal,Municipal,Asamankese
Eric Tetteh,EASTERN,Yilo Krobo Municipal,Municipal,Somanya
Kwabena Panyin Nkansah,EASTERN,Atiwa East District,District,Anyinam
Ernest Ofosu,EASTERN,Fanteakwa South District,District,Osino
Kwabena Incoom,EASTERN,Asene Manso Akroso District,District,Manso
Alhaji Umar Babs Bodinga,EASTERN,Abuakwa North Municipal,Municipal,Kukurantumi
Comfort Asante,EASTERN,New Juaben North Municipal,Municipal,Effiduase
Richmond Amposah Agyebeng,EASTERN,Achiase District,District,Achiase
Elizabeth Kwatsooe Tawiah Sackey,G. ACCRA,Accra Metropolitan,Metropolitan,Accra
Sampson Tetteh Kpankpah,G. ACCRA,Ada West District,District,Sege
Sarah Dugbakie Pobee,G. ACCRA,Ada East District,District,Ada Foah
Daniel A. Nii-Noi Adumuah ,G. ACCRA,Adentan Municipal,Municipal,Adenta
Albert Boakye Okyere,G. ACCRA,Ashaiman Municipal,Municipal,Ashaima
Mohammed Bashiru Kamara,G. ACCRA,Ga Central Municipal,Municipal,Sowutuom
Joseph Nyarni ,G. ACCRA,Ga South Municipal,Municipal,Ngleshie Amanfro
Elizabeth Kaakie Mann,G. ACCRA,Ga East Municipal,Municipal,Abokobi
Clement Nii Lamptey Wilkinson,G. ACCRA,Ga West Municipal,Municipal,Amasaman
Solomon Kotey Nikoi,G. ACCRA,La Dade Kotopon Municipal,Municipal,La 
Mordecai Quarshie,G. ACCRA,Ledzokuku Municipal,Municipal,Teshie
Jennifer Dede Afagbedzi ,G. ACCRA,La Nkwantanang Madina Municipal,Municipal,Madina
Latif Amanor,G. ACCRA,Ningo Prampram District,District,Prampram
Fred Offei,G. ACCRA,Shai Osudoku District,District,Dodowa
Yohane Armah Ashitey,G. ACCRA,Tema Metropolitan,Metropolitan,Tema
Samuel Okoe Amanquah,G. ACCRA,Kpone Katamanso Municipal,Municipal,Kpone
Nii Boye Laryea,G. ACCRA,Okaikwei North Municipal,Municipal,Tesano
Kofi Ofori,G. ACCRA,Ablekuma North Municipal,Municipal,Darkuman
George Cyril Bray,G. ACCRA,Ablekuma West Municipal,Municipal,Dansoman
Hajia Salma M Sani Adams Kuta,G. ACCRA,Ayawaso East Municipal,Municipal,Nima
Aminu Mohammed Zakari,G. ACCRA,Ayawaso North Municipal,Municipal,Accra New Town
Sandra Owusu Ahenkorah,G. ACCRA,Ayawaso West Municipal,Municipal,Dzorwulu
Simons Sekyim,G. ACCRA,Ga North Municipal,Municipal,Amomole
Patrick Kwesi Brako Kumor,G. ACCRA,Weija Gbawe Municipal,Municipal,Weija
Anna Adukwe Addo,G. ACCRA,Tema West Municipal,Municipal,Tema Community 2
Joshua Nii Bortey,G. ACCRA,Krowor Municipal,Municipal,Nungua
Samuel James Nii Adjei Tawiah,G. ACCRA,Korle Klottey Municipal,Municipal,Osu
Mariama Karley Amui,G. ACCRA,Ablekuma Central Municipal,Municipal,Lartebiokorshie
Alhaji Mohammed Ababio Quaye,G. ACCRA,Ayawaso Central Municipal,Municipal,Kokomlemle
Joseph Lournaan ,NORTH E,Bunkpurugu Nyankpanduri District,District,Bunkpurugu
Zuweirat Mada Nashiru,NORTH E,Chereponi District,District,Chereponi
Rashida Mahama,NORTH E,East Mamprusi Municipal,Municipal,Gambaga
Abu Adam,NORTH E,Mamprugu Moagduri District,District,Yagaba
Konlan Bitian,NORTH E,Yunyoo-Nasuan District,District,Yunyoo
Yaja Dawuni Robert,NORTHERN,Gushegu Municipal,Municipal,Gushegu
Iddrisu Mohammed Saani,NORTHERN,Karaga District,District,Karaga
Atta Emmanuel Tatablata,NORTHERN,Kpandai District,District,Kpandai
Abdul Salam Hamza Fataw,NORTHERN,Kumbungu District,District,Kumbungu
Samuel Kwasi Negiri Mahama,NORTHERN,Mion District,District,Sang
Abdulai Yaquob,NORTHERN,Nanumba North Municipal,Municipal,Bimbilla
Issifu Zakaria,NORTHERN,Nanumba South District,District,Wulensi
George Kringyaab Bingrini ,NORTHERN,Saboba District,District,Saboba
Yakubu Ahmed Mohammed,NORTHERN,Sagnarigu Municipal,Municipal,Sagnarigu
Hajia Ayishetu Seidu,NORTHERN,Savelugu Municipal,Municipal,Savelugu
